
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-1-1,15,8,1,12,7,-4,100,90,78,30.42,30.35,30.28,10,5,2,7,2,,0.00,1,Snow,156<br />
2013-1-2,10,4,-2,7,-1,-11,100,90,56,30.45,30.42,30.40,10,6,0,4,0,,0.00,1,,230<br />
2013-1-3,8,3,-2,7,-1,-8,100,91,72,30.48,30.43,30.41,8,5,2,5,0,,0.00,2,,230<br />
2013-1-4,55,24,-7,25,-2,-9,100,89,31,30.44,30.41,30.21,10,4,0,5,0,,0.00,0,,200<br />
2013-1-5,8,2,-5,7,0,-11,100,91,77,30.50,30.41,30.30,5,3,2,5,1,,0.00,0,,232<br />
2013-1-6,15,8,0,12,3,-4,100,93,79,30.30,30.19,30.08,4,3,2,5,0,,0.00,2,,100<br />
2013-1-7,17,8,0,16,5,-8,100,88,72,30.25,30.17,30.12,4,3,2,5,1,,0.00,3,Snow,143<br />
2013-1-8,26,22,15,21,17,14,93,84,69,30.41,30.29,30.20,10,3,2,5,1,,0.00,7,,159<br />
2013-1-9,39,22,6,28,15,5,100,88,65,30.41,30.22,29.87,12,4,0,28,2,31,0.00,1,,151<br />
2013-1-10,42,33,24,28,26,21,86,68,53,29.86,29.67,29.51,15,10,0,30,19,34,0.00,4,Snow,169<br />
2013-1-11,24,20,15,19,15,12,93,81,68,29.96,29.76,29.59,15,9,1,22,12,26,0.00,7,Snow,269<br />
2013-1-12,17,12,8,16,10,1,100,86,62,30.09,30.00,29.95,15,8,1,17,3,,0.00,5,Snow,319<br />
2013-1-13,10,5,0,7,2,-2,100,85,67,30.19,30.12,30.08,15,11,5,7,3,,0.00,2,,149<br />
2013-1-14,6,2,-2,1,-2,-9,92,85,71,30.40,30.29,30.19,15,9,3,9,4,,0.00,2,,145<br />
2013-1-15,15,9,3,9,3,0,92,78,62,30.62,30.52,30.39,12,10,5,7,3,,0.00,5,Snow,138<br />
2013-1-16,19,14,8,12,9,3,92,77,68,30.68,30.63,30.60,15,10,5,5,1,,0.00,5,Snow,230<br />
2013-1-17,17,10,3,12,6,0,100,89,79,30.66,30.58,30.52,8,5,2,0,0,,0.00,0,,-1<br />
2013-1-18,14,8,3,10,5,0,100,91,78,30.55,30.50,30.46,5,3,2,6,1,,0.00,2,Snow,200<br />
2013-1-19,15,8,0,10,2,-6,100,90,78,30.58,30.51,30.48,3,3,2,6,1,,0.00,0,,170<br />
2013-1-20,12,6,0,9,2,-2,100,91,85,30.53,30.48,30.44,2,1,0,4,0,,0.00,1,Fog,195<br />
2013-1-21,14,7,0,10,2,-4,100,90,79,30.53,30.47,30.42,2,2,1,4,0,,0.00,0,,230<br />
2013-1-22,53,26,-2,10,2,-6,100,89,16,30.45,30.41,30.34,2,2,0,4,0,,0.00,0,Fog,130<br />
2013-1-23,19,10,1,16,6,-2,100,89,78,30.37,30.32,30.26,2,2,2,4,1,,0.00,2,,191<br />
2013-1-24,33,24,15,32,24,16,100,92,80,30.33,30.28,30.24,5,2,1,12,2,17,0.00,6,Rain,339<br />
2013-1-25,35,32,30,34,31,28,100,95,87,30.34,30.27,30.17,2,1,0,6,1,,0.00,7,Fog,319<br />
2013-1-26,33,32,30,34,31,30,100,98,87,30.17,30.01,29.87,3,1,0,6,1,,0.00,8,Fog,272<br />
2013-1-27,42,34,26,36,31,25,100,92,61,29.89,29.84,29.71,15,8,2,21,4,25,0.01,6,Rain-Snow,278<br />
2013-1-28,28,26,21,25,21,16,93,84,69,30.00,29.94,29.89,15,11,10,17,12,,0.00,4,,288<br />
2013-1-29,24,22,19,23,19,16,100,88,69,30.21,30.01,29.92,12,6,0,7,4,,0.00,6,Snow,116<br />
2013-1-30,32,24,17,28,23,16,100,93,80,30.28,30.24,30.21,10,6,1,7,0,,0.00,7,Snow,357<br />
2013-1-31,37,27,17,28,24,16,100,91,70,30.38,30.33,30.28,12,5,0,6,2,,0.00,6,,333<br />
2013-2-1,32,19,6,25,14,3,100,91,69,30.45,30.35,30.30,15,5,0,5,1,,0.00,2,Fog,268<br />
2013-2-2,26,16,5,25,11,3,100,92,79,30.53,30.47,30.39,10,2,0,6,1,,0.00,3,Fog,261<br />
2013-2-3,30,19,8,27,17,7,100,92,69,30.38,30.28,30.19,6,2,0,6,1,,0.00,2,Fog,298<br />
2013-2-4,57,32,6,23,11,0,100,86,12,30.28,30.24,30.19,3,1,0,5,0,,0.00,1,Fog,306<br />
2013-2-5,33,20,8,28,16,5,100,90,65,30.21,30.09,29.93,10,3,0,8,1,,0.00,4,,274<br />
2013-2-6,33,22,12,28,22,10,100,90,70,30.21,30.05,29.92,8,3,2,12,5,,0.00,3,,310<br />
2013-2-7,33,20,6,25,13,3,100,85,56,30.22,30.11,29.89,15,6,0,9,2,,0.00,2,,96<br />
2013-2-8,41,36,30,34,26,19,100,74,56,29.89,29.76,29.65,15,10,0,29,8,37,0.00,5,Rain-Snow,97<br />
2013-2-9,32,24,17,28,24,18,100,90,75,29.87,29.76,29.70,15,7,0,8,4,,0.00,7,Snow,261<br />
2013-2-10,28,24,21,25,21,18,93,88,80,30.02,29.93,29.87,10,7,2,13,6,,0.01,7,Snow,274<br />
2013-2-11,26,16,6,21,15,3,100,89,69,30.25,30.12,30.02,10,8,1,6,2,,0.00,4,Snow,267<br />
2013-2-12,24,14,5,21,12,1,100,88,69,30.39,30.33,30.26,10,8,2,7,1,,0.00,5,Snow,197<br />
2013-2-13,33,28,23,27,21,19,93,83,60,30.39,30.34,30.28,10,7,5,5,1,,0.00,7,,230<br />
2013-2-14,37,30,23,28,23,19,100,83,60,30.44,30.34,30.27,15,7,2,10,1,,0.00,4,Snow,320<br />
2013-2-15,35,22,10,25,16,9,100,88,47,30.57,30.50,30.45,15,9,2,5,1,,0.00,1,Fog,176<br />
2013-2-16,33,20,6,21,15,1,100,88,60,30.51,30.35,30.06,15,10,0,6,1,,0.00,0,,330<br />
2013-2-17,35,26,17,28,20,14,100,84,60,30.10,29.99,29.88,15,8,2,21,3,,0.00,2,Fog,320<br />
2013-2-18,33,22,12,19,14,10,100,83,55,30.19,30.09,29.96,15,11,10,6,1,,0.00,1,,272<br />
2013-2-19,46,32,17,25,18,12,100,61,37,29.96,29.77,29.60,15,11,10,30,7,28,0.00,2,,117<br />
2013-2-20,39,34,30,28,24,19,93,69,52,29.77,29.63,29.56,15,10,7,23,8,24,0.00,4,,301<br />
2013-2-21,33,28,23,27,22,16,93,80,60,30.06,29.91,29.78,10,10,8,21,13,20,0.00,4,,283<br />
2013-2-22,30,24,19,25,20,16,100,86,69,30.17,30.10,30.05,15,9,0,7,1,,0.00,5,Snow,169<br />
2013-2-23,33,26,19,28,20,16,100,80,59,30.08,29.94,29.74,12,9,0,16,5,,0.00,7,Snow,252<br />
2013-2-24,35,25,15,19,16,10,93,80,48,30.28,30.11,29.98,15,11,8,20,10,24,0.00,2,,303<br />
2013-2-25,33,22,10,25,14,7,93,77,52,30.29,30.18,30.01,15,11,5,18,4,,0.00,4,,144<br />
2013-2-26,32,24,15,27,18,10,100,85,60,30.34,30.17,30.06,15,7,0,23,5,32,0.00,4,Snow,293<br />
